key,spp,locality,lat,lon,COI
JRD191,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD192,Papilio machaon pikei,"Canada: Alberta, Kaufman Hill",56.24883,-117.27408,M
JRD193,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Fire Lookout",52.48259,-115.73825,Z
JRD194,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Fire Lookout",52.48259,-115.73825,Z
JRD195,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Fire Lookout",52.48259,-115.73825,Z
JRD196,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Fire Lookout",52.48259,-115.73825,Z
JRD197,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Fire Lookout",52.48259,-115.73825,Z
JRD198,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Mountain",52.53151,-116.1261,Z
JRD199,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Mountain",52.53151,-116.1261,M
JRD200,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Mountain",52.53151,-116.1261,Z
JRD201,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Mountain",52.53151,-116.1261,M
JRD202,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Mountain",52.53151,-116.1261,Z
JRD203,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Mountain",52.53151,-116.1261,H
JRD205,Papilio zelicaon x machaon ,"Canada: Alberta, Powderface Mountain",50.84316,-114.84863,Z
JRD206,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Fire Lookout",52.48259,-115.73825,Z
JRD207,Papilio zelicaon x machaon ,"Canada: Alberta, Shunda Fire Lookout",52.48259,-115.73825,Z
JRD209,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD210,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD211,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD212,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD213,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD214,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD215,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD216,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD217,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD218,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD219,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD220,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD221,Papilio machaon dodi,"Canada: Alberta, Tolman Bridge",51.84258,-113.00796,M
JRD222,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD223,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD224,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD225,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD226,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD227,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD228,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD229,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD230,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD231,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD232,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD233,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD234,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD235,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD236,Papilio machaon dodi,"Canada: Alberta, Drumheller Town",51.47276,-112.70495,M
JRD237,Papilio zelicaon x machaon ,"Canada: Alberta, Powderface Mountain",50.84316,-114.84863,Z
JRD238,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD239,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD240,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD241,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
JRD242,Papilio zelicaon x machaon ,"Canada: Alberta, Buck Mountain",53.05209,-114.73961,Z
